code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score,verified,match_method
84729,MAVILOR 10MG 30 TAB.,MAVILOR 10 MG 30 TAB,مافيلور 10 مجم 30 اقراص,1033010.0,87.2,ai_confirmed,ai_verified
86216,MAVILOR 2.5 MG 30 TAB.,MAVILOR 2.5 MG 30 TAB,مافيلور 2.5 مجم 30 اقراص,905059.0,100.0,algo_match,brand_index
73318,MAVILOR 5MG 30 TAB.,MAVILOR 5 MG 30 TAB.,مافيلور 5 مجم 30 اقراص,905061.0,86.5,ai_confirmed,ai_verified
87653,MAVILOR PLUS 5/12.5 30 TAB,MAVILOR PLUS 5 / 12.5 MG 30 TABS,مافيلور بلس 5 / 12.5 مجم 30 قرص,2455188.0,82.4,ai_confirmed,ai_verified
86782,MAVILOR PLUS 5/25 MG 30 TABS,MAVILOR PLUS 5 / 25 MG 30 TABS,مافيلور بلس 5 / 25 مجم 30 قرص,2221970.0,86.2,ai_confirmed,ai_verified
91529,MAX EXTEND CAP,,,,,,no_match
77464,MAXDINIR 125MG/5ML 60 ML SUSP,MAXDINIR 125 MG / 5 ML 60 ML SUSP,ماكسيدينير 125 مجم / مل شراب 60 مل,2157050.0,84.7,ai_confirmed,ai_verified
67375,MAXDINIR 250 MG SUSP,MAXDINIR 250 MG / 5 ML 60 ML SUSP,ماكسيدينير 250 / 5 مجم / مل شراب 60 مل,1172429.0,100.0,algo_match,token_set_ratio
63258,MAXDINIR 300MG 10CAP,,,,,,no_match
91197,MAXI-MUM 200MG 30 CAP,,,,,,no_match
79997,MAXI CARE MASSAGE CREAM 75GM,MAXI CARE CREAM 75 GM,ماكسي كير كريم 75 مجم,2603684.0,81.6,ai_confirmed,ai_verified
79156,maxical 120ml syrup,,,,,,no_match
74083,MAXICAL 30 TAB,MAXICAL 30 TABS,ماكسيكال 30 اقراص,2194580.0,96.6,algo_match,brand_index
22843,MAXICAL D SYRUP 120 ML,MAXICAL D SUSPENSION 120 ML,ماكسيكال دي شراب 120 مل,2363910.0,81.6,ai_confirmed,ai_verified
88105,MAXICAL PLUS 30 TABLETS,MAXICAL PLUS 30 TAB,ماكسيكال بلس 30 اقراص,1741982.0,90.5,algo_match,brand_index
74213,MAXILASE 100ML SYRUP,MAXILASE 200 CEIP UNIT / ML SYRUP 100 ML,ماكسيلاز 200 وحده / مل شراب 100 مل,905072.0,82.4,ai_confirmed,ai_verified
90624,MAXILASE SYRUP 200 ML الحجم الكبيير,,,,,,no_match
17161,MAXIPIME 1GM VIAL,MAXIPIME 1 GM VIAL,ماكسيبيم 1 جم امبول,1504948.0,97.1,algo_match,brand_index
75446,MAXIPIME 500MG VIAL,MAXIPIME 500 MG VIAL,ماكسيبيم 500 مجم امبول امبول,2672386.0,87.2,ai_confirmed,ai_verified
67268,MAXOPHAGE XR 1000MG 30 EXT. REL. TABS.,MAXOPHAGE XR 1000 MG 30 EXT. REL. TABS.,ماكسوفاج اكس ار 1000 مجم 30 اقراص,905064.0,93.0,algo_match,brand_index
49448,MAXRONE MASSAGE CREAM 50 GM,MAXRONE MASSAGE GEL 50 GM,ماكسرون جل مساج 50 جم,2112908.0,88.5,ai_confirmed,ai_verified
87847,maxwell gel massage gel,MAXWELL MASSAGE GEL 100 GM,ماكس ويل مساج جل 100 جم,2603686.0,85.7,ai_confirmed,ai_verified
92029,MAYOCELLA 150ML SYRUP,,,,,,no_match
86819,MDICORVAL 100MCG/6MCG 120 METERED ACTUATION,MDICORVAL 100 MCG / 6 MCG 120 METERED ACTUATIONS,مديكورفال بخاخ 100 مكجم / 6 مكجم 120 جرعه,2500754.0,82.8,ai_confirmed,ai_verified
80589,MDICORVAL 200/6MCG 120 DOSE,,,,,,no_match
26545,MEBACO SLIM 20 TAB,,,,,,no_match
65975,MEBEFAC 200 MG 30 TAB,,,,,,no_match
MB15,MEBO OINT 15 GM,MEBO 0.25 % HERBAL AND NATURAL OINT. 15 GM,ميبو مرهم 15 جم,1535943.0,100.0,algo_match,token_set_ratio
MB30,MEBO OINT 30 GM,MEBO 0.25 % HERBAL AND NATURAL OINT. 30 GM,ميبو مرهم 30 جم,2474457.0,100.0,algo_match,token_set_ratio
89135,MEBO SEA VITAMIN C CREAM 25 GM,MEBO SEA CREAM 25 GM,ميبو سي كريم 25 جم,2471278.0,80.0,ai_confirmed,ai_verified
87381,MEBOLIVIA CREAM,,,,,,no_match
79627,MECLIZIGO 20 FILM,MECLIZIGO 25 MG 20 ORODISPERSIBLE FILMS,ميكليزيجو 25 مجم 20 فيلم,905217.0,88.2,ai_confirmed,ai_verified
