product_name_ar,product_name_en,store_product_id
ابيفينيكول 1 % مرهم للعين 5 جم,EPIPHENICOL 1 % EYE OINT. 5 GM,2495221
ابيكروم 4 % قطره 10 مل,EPICROM 4 % EYE DROPS 10 ML,2672802
ابيكس ببرونه 150 مل بيد,APEX BABY BOTTLE 150 ML WITH HAND,2331145
ابيكس ببرونه 250 مل بيد,APEX BABY BOTTLE 250 ML WITH HAND,2633879
ابيكس ببرونه 60 مل,APEX BABY BOTTLE 60 ML,2633881
ابيكس قطن طبي 50 جم 1 كيلو,APEX MEDICAL COTTON 50 GM 1 KILO,2131150
ابيكساتراك 2.5 مجم 30 اقراص,APIXATRACK 2.5 MG 30 F.C. TABS.,2157538
ابيكساتراك 5 مجم 30 اقراص,APIXATRACK 5 MG 30 F.C. TABS.,2277803
ابيكساجارد 2.5 مجم 30 اقراص,APIXAGUARD 2.5 MG 30 TABS,2632877
ابيكسيدون 0.5 مجم 30 اقراص,APEXIDONE 0.5 MG 30 F.C.TAB.,901666
ابيكسيدون 1 مجم / مل شراب 100 مل,APEXIDONE 1 MG / ML SYRUP 100 ML,901670
ابيكسيدون 1 مجم 20 اقراص,APEXIDONE 1 MG 20 F.C.TAB.,901671
ابيكسيدون 2 مجم 20 اقراص,APEXIDONE 2 MG 20 F.C.TAB.,901667
ابيكسيدون 3 مجم 30 اقراص,APEXIDONE 3 MG 30 F.C.TAB.,901668
ابيكسيدون 4 مجم 30 اقراص,APEXIDONE 4 MG 30 F.C.TAB.,2343342
ابيكوانتيل 600 مجم 4 اقراص,EPIQUANTEL 600 MG 4 F.C. TABS.,2643690
ابيكوبريد 20 مجم 20 اقراص,EPICOPRED 20 MG 20 ORODISPERSIBLE TABS.,2453201
ابيكوبريد 5 مجم 30 اقراص,EPICOPRED 5 MG 30 ORODISPERSIBLE TABS.,901677
ابيكوبنتين 100 مجم 30 اقراص,EPICOPENTIN 100 MG 30 F.C. TAB,2073381
ابيكوبنتين 300 مجم 30 اقراص,EPICOPENTIN 300 MG 30 CAPS,2506924
ابيكوبنتين 400 مجم 30 اقراص,EPICOPENTIN 400 MG 30 CAPS,901675
ابيكوبنتين 600 مجم 30 اقراص,EPICOPENTIN 600 MG 30 F.C.TABS,2620852
ابيكوبنتين 800 مجم 30 اقراص,EPICOPENTIN 800 MG 30 F.C. TABS,2073363
ابيكوتيل 20 مجم 10 اقراص,EPICOTIL 20 MG 10 F.C.TAB.,2149193
ابيكوتيل 20 مجم 5 لبوس للكبار,EPICOTIL 20 MG 5 ADULT SUPP.,2143859
ابيكوجيل شراب 180 مل,EPICOGEL SUSP. 180 ML,901680
ابيكوسيللين 500 مجم 16 كبسول,EPICOCILLIN 500 MG 16 CAPS.,2434951
ابيكوفلوسين 200 مجم 10 اقراص,EPICOFLOCIN 200 MG 10 F.C.TAB.,1765828
ابيكوفيللين 2.5 جم / 100 مل شراب 125 مل,EPICOPHYLLINE 2.5 G / 100 ML SYRUP 125 ML,901681
ابيلات 10 مجم 30 كبسول,EPILAT 10 MG 30 S.G.CAPS.,2507048
ابيليبكس 10 مجم 30 اقراص,APILIPEX 10 MG 30 F.C.TAB.,2423575
ابيليفاي 10 مجم 10 اقراص,ABILIFY 10 MG 10 TABS.,2671797
ابيليفاي 15 مجم 10 اقراص,ABILIFY 15 MG 10 TABS.,943058
ابيليفاي 5 مجم 10 اقراص,ABILIFY 5 MG 10 TABS,2254422
ابيماج 12 اكياس فوار,EPIMAG 12 EFF. GR. IN SACHETS,987232
ابيميرافلو 75 مجم 10 كبسول,EPIMIRAFLU 75 MG 10 CAPS.,2589105
ابينور 400 مجم 14 اقراص,EPINOR 400 MG 14 TAB.,2129543
اتاكاند 16 مجم 14 اقراص,ATACAND 16 MG 14 F.C. TAB,2277008
