كود,إسم الصنف,سعر البيع
63923,AMAGLUST 30/2 MG 30 TAB,93.0
74141,AMAGLUST 30/4 MG 30TAB,102.0
58142,AMARYL 1 MG 30 TAB,40.0
58141,AMARYL 2 MG 30 TAB,78.0
60308,AMARYL 3 MG 30 TAB,87.0
60162,AMARYL 4 MG 30 TAB,108.0
60370,AMARYL M 2M/500MG 30TAB,102.0
91349,amavarol 300.000 iu ampoule,15.0
77049,AMBEZIM-G 30 TAB,102.0
89632,AMBROPRO 20MG 20LOZENGES,64.0
79274,AMBROXOL ORAL DROPS,16.0
73363,AMEBAZOLE 1 GM 2 TAB,27.0
67286,AMIGRAINE ADCO 30TAB,93.0
55050,AMIGRAWEST 2.5 MG 4 TAB,56.0
47637,AMIKACIN 500MG VIAL,34.0
46395,AMIKACIN SPRAY 100ML,53.0
47251,AMILO 5MG 30TAB,54.0
17822,AMINOLEBAN INFUSION 500 ML,183.0
85683,AMINORENOCARE 100TABS,900.0
83750,AMIPRIDE 200MG 30TAB,243.0
83503,AMIPRIDE 400MG 20 TABS,136.0
86381,AMIPRIDE 50 MG 30 TABS,111.0
82545,AMIPROSTONE 24MCG 30CAP,159.0
72529,AMIPROSTONE 8MG 20CAP,90.0
60323,AMITRIPTINE 50 MG 30 TAB,25.5
58187,AMLODIPINE 10 MG 20 TAB,44.0
61862,AMLODIPINE 5MG 30 TAB,60.0
89384,AMLOSAZIDE 5/25/40MG 30 TABS,123.0
81059,AMLOSAZIDE5/12.5/20 MG 30TAB,99.0
81060,AMLOSAZIEDE 10/25/40 MG 30 TAB,141.0
73833,AMLOVERAN 10/10 MG 30 TAB,165.0
73834,AMLOVERAN 5/5 MG 30 TAB,112.5
60697,AMOCEREBRAL PLUS 30 TAB,36.0
57847,AMOSAR 50 MG 30 TAB,51.0
58001,AMOSAR 100 MG 30 TAB,75.0
57625,AMOSAR FORET 100/25 MG 30 TAB,117.0
83369,AMPIAVA 750MG 30TABLETS,300.0
86818,AMPOFER 20MG/ML 5 AMPS. I.V. INJ./INF,275.0
21763,AMRI K 5 AMP,40.0
5714,AMRIZOLE 120ML SUSP,31.0
4980,AMRIZOLE 250MG TAB,20.0
4985,AMRIZOLE 500 MG 20 TAB,25.0
73268,AMRIZOLE INJECTION 500 MG VIAL,47.0
16763,AMRIZOLE N SUPP,30.0
85465,anadar 20 cap,349.0
82827,ANAFORTEN HAIR SHAMPOO 200ML,135.0
47543,ANAFRONIL 25MG 30TAB,66.0
ANA,ANAFRONIL SR 75 MG 20 TAB,106.0
19132,ANALLERGE 100ML SYRUP,7.0
672810,ANALLERGE 60TAB,30.0
88580,ANALPAN MOUTH WASH,29.0
81294,ANASTRAZOL SANDOZ 1MG 30TAB,495.0
85262,ANASTROZOL SYNTHON 1 MG 28 TABS,706.0
82795,ANDAGRA 100MG 12TABS,63.0
81574,ANDOCANDOXIN 200 VAGINAL CAP,58.0
84405,ANDOCANDOXIN 600 VAGINAL CAP,61.0
81590,ANDOCEPTIVE 30/75 MG 21 TAB,76.0
67354,ANDODERMA GEL 50 ML,130.0
86923,ANDODERMA SKIN WHITENING CREAM 50 GM,145.0
91691,ANDOFLOZIN XR 25MG*100 MG,258.0
85211,andomatoid 2mg 28tab,1100.0
80507,ANDOPENTENE 300MG 20TABS,90.0
90235,ANDOPENTENE 300MG 30TAB,135.0
80508,ANDOPENTENE 600MG 20TABS,132.0
91276,ANDOPENTENE 600MG 30 TABS,198.0
65902,ANDOPOXETINE 60 MG 3 TAB,39.0
87790,ANDOPOXETINE 60 MG 6 FILM COATED TABLETS,116.0
65955,ANDORIVABAN 10 MG 20 TAB,152.0
81405,ANDORIVABAN 20 MG 20 TAB,260.0
79988,ANDOURISTAT 80MG 20 TAB,56.0
81589,ANDOVIMPAMIDE 100 MG 30 TABS,273.0
83082,ANDOVIMPAMIDE 50MG 30TABS,151.5
