product_name_ar,product_name_en,store_product_id,product_id,sale_price
ابيكساتراك 2.5 مجم 30 اقراص,APIXATRACK 2.5 MG 30 F.C. TABS.,1165229.0,1092.0,366.0
ابيكساتراك 5 مجم 30 اقراص,APIXATRACK 5 MG 30 F.C. TABS.,2277803.0,1093.0,366.0
ابيكساجارد 2.5 مجم 30 اقراص,APIXAGUARD 2.5 MG 30 TABS,2632877.0,126019.0,316.5
ابيكسيدون 0.5 مجم 30 اقراص,APEXIDONE 0.5 MG 30 F.C.TAB.,901666.0,1064.0,49.5
ابيكسيدون 1 مجم / مل شراب 100 مل,APEXIDONE 1 MG / ML SYRUP 100 ML,2453195.0,1066.0,60.0
ابيكسيدون 1 مجم 20 اقراص,APEXIDONE 1 MG 20 F.C.TAB.,901671.0,1065.0,54.0
ابيكسيدون 2 مجم 20 اقراص,APEXIDONE 2 MG 20 F.C.TAB.,1652210.0,1067.0,75.0
ابيكسيدون 3 مجم 30 اقراص,APEXIDONE 3 MG 30 F.C.TAB.,901668.0,1068.0,126.0
ابيكسيدون 4 مجم 30 اقراص,APEXIDONE 4 MG 30 F.C.TAB.,901669.0,1069.0,126.0
ابيكوانتيل 600 مجم 4 اقراص,EPIQUANTEL 600 MG 4 F.C. TABS.,2643690.0,5279.0,32.0
ابيكوبريد 20 مجم 20 اقراص,EPICOPRED 20 MG 20 ORODISPERSIBLE TABS.,2166857.0,5226.0,104.0
ابيكوبريد 5 مجم 30 اقراص,EPICOPRED 5 MG 30 ORODISPERSIBLE TABS.,901677.0,5227.0,69.0
ابيكوبنتين 100 مجم 30 اقراص,EPICOPENTIN 100 MG 30 F.C. TAB,2073381.0,72087.0,51.0
ابيكوبنتين 300 مجم 30 اقراص,EPICOPENTIN 300 MG 30 CAPS,2506924.0,72088.0,96.0
ابيكوبنتين 400 مجم 30 اقراص,EPICOPENTIN 400 MG 30 CAPS,901675.0,72089.0,126.0
ابيكوبنتين 600 مجم 30 اقراص,EPICOPENTIN 600 MG 30 F.C.TABS,2532069.0,82748.0,102.0
ابيكوبنتين 800 مجم 30 اقراص,EPICOPENTIN 800 MG 30 F.C. TABS,2073363.0,82749.0,109.5
ابيكوتيل 20 مجم 10 اقراص,EPICOTIL 20 MG 10 F.C.TAB.,2149193.0,5228.0,28.5
ابيكوتيل 20 مجم 5 لبوس للكبار,EPICOTIL 20 MG 5 ADULT SUPP.,2143859.0,5229.0,17.5
ابيكوجيل شراب 180 مل,EPICOGEL SUSP. 180 ML,901680.0,5221.0,48.0
ابيكوسيللين 500 مجم 16 كبسول,EPICOCILLIN 500 MG 16 CAPS.,2434951.0,5218.0,40.0
