code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score
47770,ESTIKAN 20MG 14 TAB,,,,
73351,ESTOHALT 40 MG 14 CAP,ESTOHALT 40 MG 14 CAPS.,استوهالت 40 مجم 14 كبسول,901843,97.7
82927,ESTRACEPTIVE 21 TABS,,,,
91261,ESTRAVODOSE 2 MG 28 F.C. TABS,,,,
55700,ETHOXA 120 ML 250 MG SYRUP,,,,
82791,ETICOXIA 90MG 14TABS,,,,
81504,ETORICOX-HEXAL 60 MG 30TABS,,,,
81505,ETORICOX-HEXAL 90 MG 30TABS,,,,
76487,EUCAL CREAM 30 GM,EUCAL CREAM 30 GM,يوكال كريم 30 جم,1657825,100.0
74690,EUCAL CREAM 50 GM,EUCAL CREAM 50 GM,يوكال كريم 50 جم,902472,100.0
73542,EUCAL GEL 50 GM,EUCAL GEL 50 GM,ايوكال جل 75,2607106,100.0
91067,EUCAL GEL MASSAGE 30 GM,,,,
62131,EUCAL HERBAL MASSAGE GEL 30 GM,,,,
88697,EUCAL HERBAL OIL 75 ML,,,,
73522,EUCARBON 30 TABS.,EUCARBON 30 TABS.,اوكاربون 30 اقراص,902266,100.0
90923,EUCERIN SERUM,,,,
384,EUMOVATE CREAM,,,,
19100,EUROCOX 200MG TAB,,,,
63273,EURONEMIA 5 AMP,,,,
84911,EUTHROX50MG TAB50,,,,
91461,EUTHYROX 100MCG 100TAB,,,,
91462,EUTHYROX 100MCG 50TAB,,,,
81702,euthyrox 25 ug 100 tab,,,,
67312,EUTHYROX 25MG 50TAB,,,,
91403,EUTHYROX 50MCG 100 TAB,,,,
91460,EUTHYROX 50MCG 50 TABS,,,,
91459,EUTHYROX 75 MCG 100 TABS,,,,
87456,EVA BEBE LOTION 200 ML,,,,
87378,EVA BODY SPLASH 240 ML MYSTIC ORCHID,,,,
87560,EVA MEDIUM HEALYHY,,,,
74753,EVACULAX 500MG 20 TABS,,,,
58219,EVAGRO PURE NATURAL HONEY 250 GM,,,,
90785,EVANEOTRIM 120 EXT. F.C. TABS.,EVANEOTRIM 120 EXT. F.C. TABS,ايفانيوتريم 120 اقراص,2541426,100.0
47557,EVASTINE 10MG 20TAB,,,,
20249,EVASTINE SYRUP 100 ML,,,,
73236,EXAMIDE 10 MG 30 TAB,EXAMIDE 10 MG 30 TAB,اكساميد 10 مجم 30 اقراص,1451211,100.0
82497,examide 100mg 20tab,,,,
73511,EXAMIDE 20 MG 20 TAB,EXAMIDE 20 MG 20 TAB.,اكساميد 20 مجم 20 اقراص,919489,100.0
73459,EXAMIDE 5 MG 30 TAB,EXAMIDE 5 MG 30 TAB.,اكساميد 5 مجم 30 اقراص,2312360,100.0
79558,EXARETIC 10 MG 30TABLETS,,,,
79557,EXARETIC 20 MG 30 TABLETS,EXARETIC 20 MG 30 TAB.,اكساريتيك 20 مجم 30 اقراص,2325827,91.3
91050,EXCELSA 20MG 14TAB,,,,
90715,EXCEPTION 20 CAP,,,,
82570,EXEEDOGAST 40 M TAB,,,,
45111,EXELON 3 MG 28 CAP,,,,
90551,EXELON 4.6MG,,,,
73909,EXFORGE 10/160 MG 14 TAB,,,,
73630,EXFORGE 5/160 MG 14 TAB,,,,
74304,EXFORGE HCT 5/160 /12.5 MG MG 14 TAB,,,,
73463,EXFORGE HCT 10 /160 /25 MG MG 14 TAB,,,,
88450,EXIBION 30 TAB,,,,
88302,EXOSIRYLIC 250 MG 20 F.C TABLETS,EXOSIRYLIC 250 MG 20 F.C.TABS,اكسوسيرليك 250 مجم 20 اقراص,2143403,95.1
89218,EXOSIRYLIC 500 MG 20 F.C. TABS,EXOSIRYLIC 500 MG 20 F.C.TABS,اكسوسيرليك 500 مجم 20 اقراص,2616798,100.0
90716,EXOSPAST 100MG 30 TAB,,,,
47320,EXTRA CREAM,,,,
59550,EXTRAGESIC 400 MG 20 TAB,EXTRAGESIC 400 MG 20 F.C. TABS.,اكستراجيسيك 400 مجم 20 اقراص,2146285,90.6
88261,EXTRAUMA DNA 40GCREAM,,,,
66835,EXTRAUMA DNA CREAM 25 GM,EXTRAUMA DNA CREAM 25 GM,اكستروما دي ان ايه كريم 25 جم,2642061,100.0
73334,EXTRAUMA FORTE GEL 25 GM,,,,
75185,EXTRAUMA FORTE GEL 40 GM,,,,
56785,EXTREME 20 PIECES,,,,
30510,EXUPAR 15 MG 20 TAB,EXUPAR 15 MG 20 TAB.,اكسيوبار 15 مجم 20 اقراص,2511069,100.0
